event_id,source,event_type,utc_time,ra_deg,dec_deg,pos_error_deg,strength_signal
GRB 670702,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000039673+00:00,,,1.077296132,
GRB 670702,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000039673+00:00,,,1.170431639,
GRB 690703,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040405+00:00,191.621,19.727,0.5206017,1.09E-07
GRB 690703,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040405+00:00,191.62,19.73,0.992025343,1.09E-07
GRB 690719,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040421+00:00,,,0.791992927,
GRB 691007,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040501+00:00,236.491,32.845,0.807271057,1.09E-06
GRB 691007,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040501+00:00,236.49,32.84,1.031117124,1.09E-06
GRB 691008,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040502+00:00,,,0.854205682,
GRB 691017A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040511+00:00,27.58,-26.75,1.800644008,1.09E-07
GRB 691017A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040511+00:00,102.502,-27.059,0.509758634,1.09E-07
GRB 691017B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040511+00:00,156.64,0.74,1.439021605,2.18E-07
GRB 691017B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040511+00:00,156.642,0.745,1.945908929,2.18E-07
GRB 700125,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040611+00:00,,,1.018226746,
GRB 700710,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040777+00:00,,,0.864599185,
GRB 700710,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040777+00:00,,,1.375586598,
GRB 700822,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040820+00:00,144.93,60.77,1.579625103,5.45E-07
GRB 700822,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040820+00:00,142.96,61.78,0.561742148,5.45E-07
GRB 701001,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040860+00:00,,,1.429320986,
GRB 701201,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040921+00:00,91.486,-29.006,0.761523436,2.18E-07
GRB 701201,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040921+00:00,91.49,-29.01,0.795410238,2.18E-07
GRB 701230,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040950+00:00,97.088,-28.933,1.670248634,1.64E-06
GRB 701230,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040950+00:00,120.68,9.86,1.435155761,1.64E-06
GRB 710102,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040953+00:00,176.66,39.72,1.74206495,5.45E-07
GRB 710102,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000040953+00:00,216.36,59.77,0.971135762,5.45E-07
GRB 710227,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041009+00:00,,,1.213269815,
GRB 710227,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041009+00:00,,,1.532284089,
GRB 710315,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041025+00:00,4.63,-20.72,1.438388917,2.73E-07
GRB 710315,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041025+00:00,4.63,-20.72,0.581471119,2.73E-07
GRB 710318,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041028+00:00,69.7,12.1,1.636399608,5.45E-07
GRB 710318,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041028+00:00,69.7,12.1,1.093341726,5.45E-07
GRB 710421,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041062+00:00,247.47,33.89,1.981065997,1.63E-08
GRB 710421,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041062+00:00,247.468,33.892,1.627584821,1.63E-08
GRB 710630,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041132+00:00,27.57,-29.75,0.532156987,2.73E-06
GRB 710630,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041132+00:00,207.567,29.753,0.829170016,2.73E-06
GRB 720117,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041333+00:00,104.68,8.93,0.596448983,3.82E-07
GRB 720117,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041333+00:00,332.49,50.25,1.765279609,3.82E-07
GRB 720312,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041388+00:00,,,0.847393581,2.73E-07
GRB 720312,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041388+00:00,277.64,1.03,1.36593639,2.73E-07
GRB 720328,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041404+00:00,283.531,22.064,1.109024901,5.45E-07
GRB 720328,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041404+00:00,283.53,22.06,1.182034963,5.45E-07
GRB 720427,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041434+00:00,,,1.901259085,
GRB 720427,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041434+00:00,,,0.631029628,
GRB 720514,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041451+00:00,177,78,1.687568873,1.09E-06
GRB 720514,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041451+00:00,176.72,77.72,1.587541648,1.09E-06
GRB 721101,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041622+00:00,11.66,19.27,1.493461731,3.81E-08
GRB 721101,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041622+00:00,11.66,19.27,0.921558926,3.81E-08
GRB 721113,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041634+00:00,,,1.966809043,
GRB 721218,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041669+00:00,120.578,-32.739,0.793765643,
GRB 721218,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041669+00:00,70.64,0.09,1.634840489,
GRB 730125,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041707+00:00,,,1.494525208,
GRB 730302,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041743+00:00,60.04,59.14,0.731087412,
GRB 730416,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041788+00:00,,,1.644172972,
GRB 730507,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041809+00:00,342.51,56.27,1.323447315,3.27E-07
GRB 730507,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041809+00:00,342.51,56.27,1.248293042,3.27E-07
GRB 730606A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041839+00:00,,,1.109788814,
GRB 730606B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041839+00:00,,,1.049959314,
GRB 730606C,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041839+00:00,,,1.730874399,
GRB 730610,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041843+00:00,25.55,-35.75,1.820211156,5.45E-07
GRB 730610,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041843+00:00,68.7,13.1,0.745095532,5.45E-07
GRB 730721,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041884+00:00,47.8,37.19,1.244863903,
GRB 730725,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041888+00:00,75.8,30.07,1.195297275,
GRB 730918,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041943+00:00,,,1.758459144,
GRB 730926,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041951+00:00,,,0.882750456,
GRB 731217,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042033+00:00,,,1.358724608,
GRB 731223,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042039+00:00,,,1.042547864,
GRB 740121,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042068+00:00,,,0.657158907,
GRB 740402,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042139+00:00,,,1.683957695,
GRB 740723,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042251+00:00,,,0.803422031,
GRB 740724,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042252+00:00,,,1.917605699,
GRB 740823,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042282+00:00,,,0.651242754,
GRB 740929,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042319+00:00,,,0.869275606,
