event_id,source,event_type,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength
GW150914,GWOSC,GW,2015-09-14 09:50:44.400000+00:00,,,,26.0
GW151012,GWOSC,GW,2015-10-12 09:54:42.400000+00:00,,,,10.0
GW151226,GWOSC,GW,2015-12-26 03:38:52.600000+00:00,,,,13.1
GW170104,GWOSC,GW,2017-01-04 10:11:58.600000+00:00,,,,13.8
GW170608,GWOSC,GW,2017-06-08 02:01:16.500000+00:00,,,,15.4
GW170729,GWOSC,GW,2017-07-29 18:56:29.300000+00:00,,,,10.8
GW170809,GWOSC,GW,2017-08-09 08:28:21.800000+00:00,,,,12.8
GW170814,GWOSC,GW,2017-08-14 10:30:43.500000+00:00,,,,17.7
GW170817,GWOSC,GW,2017-08-17 12:41:04.400000+00:00,,,,33.0
GW170818,GWOSC,GW,2017-08-18 02:25:09.100000+00:00,,,,12.0
GW170823,GWOSC,GW,2017-08-23 13:13:58.500000+00:00,,,,12.2
GW190403_051519,GWOSC,GW,2019-04-03 05:15:19.200000+00:00,,,,7.6
GW190408_181802,GWOSC,GW,2019-04-08 18:18:02.200000+00:00,,,,14.6
GW190412,GWOSC,GW,2019-04-12 05:30:44.100000+00:00,,,,19.8
GW190413_052954,GWOSC,GW,2019-04-13 05:29:54.500000+00:00,,,,9.0
GW190413_134308,GWOSC,GW,2019-04-13 13:43:08.700000+00:00,,,,10.6
GW190421_213856,GWOSC,GW,2019-04-21 21:38:56.200000+00:00,,,,10.7
GW190425,GWOSC,GW,2019-04-25 08:18:05+00:00,,,,12.4
GW190426_190642,GWOSC,GW,2019-04-26 19:06:42.600000+00:00,,,,8.7
GW190503_185404,GWOSC,GW,2019-05-03 18:54:04.200000+00:00,,,,12.2
GW190512_180714,GWOSC,GW,2019-05-12 18:07:14.400000+00:00,,,,12.7
GW190513_205428,GWOSC,GW,2019-05-13 20:54:28.700000+00:00,,,,12.5
GW190514_065416,GWOSC,GW,2019-05-14 06:54:16.800000+00:00,,,,8.0
GW190517_055101,GWOSC,GW,2019-05-17 05:51:01.800000+00:00,,,,10.8
GW190519_153544,GWOSC,GW,2019-05-19 15:35:44.300000+00:00,,,,15.9
GW190521,GWOSC,GW,2019-05-21 03:02:29.400000+00:00,,,,14.3
GW190521_074359,GWOSC,GW,2019-05-21 07:43:59.400000+00:00,,,,25.9
GW190527_092055,GWOSC,GW,2019-05-27 09:20:55.700000+00:00,,,,8.0
GW190602_175927,GWOSC,GW,2019-06-02 17:59:27+00:00,,,,13.2
GW190620_030421,GWOSC,GW,2019-06-20 03:04:21.300000+00:00,,,,12.1
GW190630_185205,GWOSC,GW,2019-06-30 18:52:05.100000+00:00,,,,16.4
GW190701_203306,GWOSC,GW,2019-07-01 20:33:06.500000+00:00,,,,11.2
GW190706_222641,GWOSC,GW,2019-07-06 22:26:41.300000+00:00,,,,13.4
GW190707_093326,GWOSC,GW,2019-07-07 09:33:26.100000+00:00,,,,13.1
GW190708_232457,GWOSC,GW,2019-07-08 23:24:57.300000+00:00,,,,13.4
GW190719_215514,GWOSC,GW,2019-07-19 21:55:14.900000+00:00,,,,7.9
GW190720_000836,GWOSC,GW,2019-07-20 00:08:36.700000+00:00,,,,10.9
GW190725_174728,GWOSC,GW,2019-07-25 17:47:28.400000+00:00,,,,9.1
GW190727_060333,GWOSC,GW,2019-07-27 06:03:33.900000+00:00,,,,11.7
GW190728_064510,GWOSC,GW,2019-07-28 06:45:10.500000+00:00,,,,13.1
GW190731_140936,GWOSC,GW,2019-07-31 14:09:36.600000+00:00,,,,8.8
GW190803_022701,GWOSC,GW,2019-08-03 02:27:01.800000+00:00,,,,9.3
GW190805_211137,GWOSC,GW,2019-08-05 21:11:37.300000+00:00,,,,8.1
