event_id,source,event_type,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength
188341,TNS,AT,2025-09-11 02:06:00+00:00,320.417792,-23.778833,5.56E-05,19.3
188340,TNS,AT,2022-07-30 00:00:00+00:00,24.347458,-8.47727,0.000138889,26.94
185900,TNS,AT,2025-08-02 10:51:04.999000+00:00,31.08499365,-17.39913799,5.56E-05,19.2701
188339,TNS,AT,2025-09-01 10:01:39.648000+00:00,345.5096897,6.980992077,5.56E-05,20.94
181807,TNS,SN II,2025-06-17 11:30:47.998000+00:00,38.60817157,25.27179021,5.56E-05,18.436
186084,TNS,AT,2025-08-16 07:22:36.768000+00:00,234.8798188,26.27150135,5.56E-05,19.813
187224,TNS,SN II,2025-08-28 02:18:55.008000+00:00,5.958546086,-0.302390479,5.56E-05,19.07
188338,TNS,AT,2025-08-30 08:27:44.640000+00:00,327.0794488,-34.95252976,5.56E-05,18.66
188337,TNS,AT,2025-09-04 11:52:46.004000+00:00,71.6044952,-6.9134178,5.56E-05,19.575
187431,TNS,SN Ic,2025-08-28 12:32:52.512000+00:00,349.7699989,-8.477634163,5.56E-05,19.22
188336,TNS,AT,2025-09-02 12:36:39.744000+00:00,33.77711159,26.38170058,5.56E-05,19.96
188100,TNS,AT,2025-09-01 05:33:48.997000+00:00,281.4456215,59.62227401,5.56E-05,20.73
188183,TNS,AT,2025-09-02 08:09:52.001000+00:00,1.960317825,5.647456463,5.56E-05,20.0865
188335,TNS,AT,2025-09-11 17:47:04.992000+00:00,292.1185892,58.67073509,5.56E-05,20.05
188334,TNS,AT,2025-07-21 22:30:58.752000+00:00,328.5923772,24.92335483,5.56E-05,19.66
187167,TNS,SN Ia,2025-08-23 11:29:55+00:00,75.0913377,6.808272,5.56E-05,20.4685
188078,TNS,SN Ia,2025-09-04 13:47:53.952000+00:00,54.89874,-23.83140333,5.56E-05,19.186
184758,TNS,AT,2025-07-02 09:14:47+00:00,40.04379294,-13.09133048,5.56E-05,19.61
185416,TNS,AT,2025-08-03 04:24:40.320000+00:00,51.10530418,2.296190179,5.56E-05,19.936
187373,TNS,AT,2025-08-20 20:52:48+00:00,24.07090317,5.502577445,5.56E-05,22.2
186243,TNS,AT,2025-08-17 15:10:05.664000+00:00,356.2273315,-32.07634283,5.56E-05,19.8
188333,TNS,AT,2025-09-11 05:42:28.002000+00:00,340.2491873,-1.3063915,5.56E-05,19.2162
188193,TNS,SN Ia,2025-09-07 05:45:19.584000+00:00,53.70803462,-9.84266,5.56E-05,18.63
178097,TNS,AT,2025-04-28 09:40:20.064000+00:00,351.2489271,-32.09407809,5.56E-05,18.958
187105,TNS,SN Ia,2025-08-26 08:10:59.998000+00:00,323.6838667,-27.42592838,5.56E-05,18.8888
186496,TNS,AT,2025-08-19 12:55:02.208000+00:00,63.14759139,4.573429921,5.56E-05,19.518
187134,TNS,AT,2025-08-24 08:02:01+00:00,352.0114143,-13.697801,5.56E-05,19.9929
186932,TNS,AT,2025-08-23 10:15:57.600000+00:00,353.5816082,22.60530368,5.56E-05,20.89
188332,TNS,AT,2025-08-15 10:36:00.288000+00:00,339.1043757,-31.59026475,5.56E-05,20.25
185573,TNS,AT,2025-08-01 09:41:07.998000+00:00,12.29081787,-3.951929791,5.56E-05,20.5769
186184,TNS,AT,2025-08-16 09:26:41.001000+00:00,344.7446909,20.6654063,5.56E-05,20.1199
187240,TNS,AT,2025-08-23 20:31:12+00:00,27.34427207,8.439429516,5.56E-05,21.91
187136,TNS,AT,2025-08-26 05:39:59.040000+00:00,22.03775017,-39.27540536,5.56E-05,19.389
187153,TNS,SN Ia,2025-08-27 03:32:06.720000+00:00,299.6035666,-22.20716947,5.56E-05,19.145
185838,TNS,AT,2025-08-11 18:02:18.240000+00:00,303.0905202,-31.35878336,5.56E-05,19.663
186173,TNS,SN Ia,2025-08-05 10:58:49.002000+00:00,10.79229913,-9.639876553,5.56E-05,20.8749
186259,TNS,AT,2025-08-17 09:16:03.999000+00:00,12.53615372,25.12248629,5.56E-05,19.7267
188331,TNS,AT,2025-09-11 07:27:27.936000+00:00,79.09575,-45.9135,5.56E-05,18.3
188330,TNS,AT,2025-09-11 05:28:24.384000+00:00,226.41941,24.80366333,5.56E-05,18.832
188329,TNS,AT,2025-09-04 12:33:11.001000+00:00,129.6705498,38.3343123,5.56E-05,19.3626
188328,TNS,AT,2025-09-06 12:29:55.003000+00:00,130.4635047,16.2656249,5.56E-05,18.5958
188148,TNS,AT,2025-09-05 21:27:20.736000+00:00,233.6976775,23.34375,5.56E-05,19.46
188166,TNS,SN II,2025-09-06 10:22:20+00:00,61.510358,25.954539,5.56E-05,19.079
188293,TNS,AT,2025-09-10 17:49:06.816000+00:00,298.9670356,-7.395475556,5.56E-05,18.71
187586,TNS,SN Ia,2025-08-24 01:45:47.808000+00:00,14.17007167,-9.6086825,5.56E-05,19.26
188290,TNS,SN Ia,2025-09-10 05:57:43.004000+00:00,355.6756362,15.15388263,5.56E-05,19.0646
188260,TNS,SN II,2025-09-08 14:10:46.848000+00:00,91.25436364,-14.10408455,5.56E-05,17.506
187758,TNS,AT,2025-08-28 21:21:36+00:00,29.3226691,-1.4434432,5.56E-05,21.77
188327,TNS,AT,2025-08-18 12:06:04.608000+00:00,16.43069454,20.38624455,5.56E-05,20.72
186871,TNS,AT,2025-08-22 18:38:33.792000+00:00,25.43703252,-18.27673591,5.56E-05,20.32
182500,TNS,AT,2025-06-24 10:20:50.997000+00:00,10.2495982,33.90716945,5.56E-05,19.3638
184242,TNS,AT,2025-07-03 10:11:51.360000+00:00,37.15820713,4.305063985,5.56E-05,18.429
187159,TNS,AT,2025-08-22 09:26:01.999000+00:00,44.32141463,12.95683222,5.56E-05,20.4867
188326,TNS,AT,2025-08-19 11:31:12+00:00,350.2089388,-4.175895042,5.56E-05,21.34
188325,TNS,AT,2025-06-24 06:57:42+00:00,343.168138,1.166089,5.56E-05,19.42
186407,TNS,AT,2025-08-17 13:34:02.784000+00:00,3.684533399,-25.82033437,5.56E-05,20.69
188324,TNS,AT,2025-08-27 09:18:40.608000+00:00,334.1291129,-40.03382763,5.56E-05,20.02
186092,TNS,AT,2025-08-05 10:11:45+00:00,340.0779008,12.33571555,5.56E-05,20.4639
188323,TNS,AT,2025-08-27 12:46:01.344000+00:00,39.54260379,9.175980411,5.56E-05,20.47
144491,TNS,SN Ia-91T-like,2024-01-15 05:44:21.696000+00:00,10.73136069,15.13367684,5.56E-05,18.888
186957,TNS,AT,2025-08-24 07:52:25.248000+00:00,338.1313323,-10.12851535,5.56E-05,20.023
186516,TNS,AT,2025-08-18 22:46:26.688000+00:00,266.3805472,25.65713646,5.56E-05,19.307
174534,TNS,SN II,2025-03-10 14:38:53.376000+00:00,39.3675725,23.30348355,5.56E-05,18.46
186930,TNS,AT,2025-08-16 08:45:57.997000+00:00,358.7771616,-2.439479146,5.56E-05,20.3631
188322,TNS,AT,2025-09-02 11:17:17.998000+00:00,357.7436881,80.815668,5.56E-05,20.0944
186015,TNS,SN Ia,2025-08-15 01:44:36.096000+00:00,31.3553557,-30.77080469,5.56E-05,18.434
186996,TNS,AT,2025-08-17 09:44:31.997000+00:00,30.72675462,-21.06729787,5.56E-05,20.4112
182567,TNS,AT,2025-06-23 11:16:26.002000+00:00,32.14449775,29.49783046,5.56E-05,19.9638
187029,TNS,AT,2025-08-25 13:51:42.048000+00:00,37.2867722,-6.446790396,5.56E-05,21.24
186449,TNS,AT,2025-08-18 01:25:16.608000+00:00,34.99775619,-7.989704435,5.56E-05,19.952
181506,TNS,SN II,2025-06-13 18:15:36.576000+00:00,16.09326102,-16.74113207,5.56E-05,18.42
186033,TNS,AT,2025-08-14 08:35:27.001000+00:00,334.8106245,8.286807638,5.56E-05,20.3847
187307,TNS,AT,2025-08-20 21:10:04.800000+00:00,30.81484394,0.757639854,5.56E-05,21.74
185805,TNS,AT,2025-08-07 21:28:48+00:00,18.33402428,2.211354496,5.56E-05,20.82
188321,TNS,AT,2025-08-24 10:18:29.664000+00:00,348.1302028,-15.18473698,5.56E-05,20.26
187733,TNS,AT,2025-08-31 01:48:15.552000+00:00,26.33839496,19.99563809,5.56E-05,19.92
186171,TNS,AT,2025-08-16 08:41:07.002000+00:00,28.36369533,32.77952633,5.56E-05,20.0888
187734,TNS,SN Ia,2025-08-28 01:01:45.696000+00:00,1.023030206,2.65990235,5.56E-05,19.65
187611,TNS,AT,2025-08-28 13:29:52.224000+00:00,45.49972595,14.69918419,5.56E-05,20.076
187971,TNS,AT,2025-09-02 13:07:54.624000+00:00,36.34932451,-7.838852783,5.56E-05,20.79
186645,TNS,AT,2025-08-17 09:16:03.999000+00:00,16.71218418,24.75238297,5.56E-05,20.4553
187304,TNS,AT,2025-08-20 21:02:52.800000+00:00,29.939066,7.75301413,5.56E-05,20.67
185809,TNS,AT,2025-08-09 21:14:24+00:00,28.97984546,1.11280843,5.56E-05,19.69
181805,TNS,SN Ia,2025-06-14 11:32:28.999000+00:00,39.36131595,23.29903326,5.56E-05,18.4727
186032,TNS,AT,2025-08-13 11:02:23.999000+00:00,38.62827718,-19.14836784,5.56E-05,19.501
187832,TNS,AT,2025-08-30 00:36:32.832000+00:00,338.789526,-1.102999754,5.56E-05,19.332
