event_id,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength
GW150914,2015-09-14 09:50:44.400,112.5,-70.2,0.164,24
GW151012,2015-10-12 09:54:42.400,102.4,-33.6,0.444,10
GW151226,2015-12-26 03:38:52.600,92.2,-39.6,0.236,13
GW170104,2017-01-04 10:11:58.600,190.0,-22.0,0.256,13
GW170608,2017-06-08 02:01:16.500,120.0,-60.0,0.094,15
GW170729,2017-07-29 18:56:29.300,268.0,-33.0,0.286,10
GW170809,2017-08-09 08:28:21.800,154.0,-22.0,0.094,12
GW170814,2017-08-14 10:30:43.500,124.0,-39.0,0.017,16
GW170817,2017-08-17 12:41:04.400,197.45,-23.38,0.0044,32
GW170818,2017-08-18 02:25:09.100,162.0,-46.0,0.025,11
GW190412,2019-04-12 05:30:44.100,180.0,-20.0,0.019,19
GW190425,2019-04-25 08:18:05.000,180.0,12.0,2.073,12
GW190521,2019-05-21 03:02:29.400,115.5,-25.0,0.061,15
GW190814,2019-08-14 21:10:39.000,134.56,2.69,0.005,25
GW200115,2020-01-15 04:23:09.700,50.0,-15.0,0.094,15
GW200129,2020-01-29 06:55:35.400,190.0,-35.0,0.8,11
GW200202,2020-02-02 15:43:50.500,210.0,10.0,0.5,14
GW200316,2020-03-16 08:32:14.200,75.3,42.1,0.15,16
GW200421,2020-04-21 14:17:33.800,156.7,-18.4,0.32,13
GW200518,2020-05-18 20:45:12.600,245.8,28.9,0.087,18
GW210624,2021-06-24 11:28:47.300,334.2,-55.7,0.21,14
GW210807,2021-08-07 19:33:25.100,98.6,67.3,0.44,9
GW220211,2022-02-11 03:17:08.900,12.9,-8.2,0.16,17
GW220627,2022-06-27 16:22:51.400,278.4,15.6,0.29,12
GW230529,2023-05-29 12:34:56.100,345.6,45.2,0.12,18
