,event_A_id,event_A_type,event_B_id,event_B_type,confidence_score,score_spatiotemporal,score_significance,score_contextual,time_delta_sec,angular_dist_deg
0,bn170817529,GRB,GW170817,GW,0.5494485665703827,0.9898503655694209,0.11507794595224083,0.1,34.925376,0.001499999999998868
1,GW190412,GW,GW190413_052954,GW,0.040508619590097494,2.2682471785271876e-11,0.06836206526252085,0.1,86350.4,20.928257944965303
2,GW190517_055101,GW,GW190519_153544,GW,0.029227754313498916,3.1595852579149865e-26,0.03075918104499638,0.1,207882.6,49.551854935726695
3,bn170804911,GRB,bn170805901,GRB,0.02860751951393651,2.1105040630056084e-11,0.028691731677946624,0.1,85528.131898,14.274631628773022
4,GW190706_222641,GW,GW190707_093326,GW,0.02558163121645493,7.844207044226466e-06,0.01859236370977605,0.1,40004.8,37.95415845091283
5,GW190803_022701,GW,GW190805_211137,GW,0.02557770911293282,5.42744629194479e-30,0.01859236370977605,0.1,240275.4,37.93212700547424
6,GW190706_222641,GW,GW190708_232457,GW,0.025171953707701176,2.9652626354005358e-22,0.017239845692337243,0.1,176296.0,35.9277202596627
7,GW191103_012549,GW,GW191105_143521,GW,0.024320775264499824,1.689763117246067e-27,0.014402584214999398,0.1,220172.4,30.144968346604053
8,GW190929_012149,GW,GW190930_133541,GW,0.024303556933008546,8.268558641219863e-17,0.014345189776694998,0.1,130431.7,49.62843380918456
9,GW190425,GW,GW190426_152155,GW,0.02238556146577896,1.940106268633857e-14,0.007951871552564178,0.1,111830.3,33.115961990228
10,GW200128_022011,GW,GW200129_065458,GW,0.021138317048352413,2.0687870714117024e-13,0.003794390160829901,0.1,102886.5,46.40246992299111
11,GW190512_180714,GW,GW190513_205428,GW,0.020463319095429918,1.507587446945201e-12,0.0015443969822537314,0.1,96434.3,29.02472903553142
12,GW190519_153544,GW,GW190521,GW,0.02000000000000011,2.1702151645686913e-16,0.0,0.1,127605.0,49.035445803375296
