,event_id,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength,source,event_type
0,bn170827818,2017-08-27 19:38:04.464759,48.79,-65.38,6.46,5.9533,HEASARC,GRB
1,bn170825784,2017-08-25 18:49:11.041334,116.32,-48.72,2.21,5.20216,HEASARC,GRB
2,bn170803415,2017-08-03 09:57:44.255779,352.69,-46.33,4.21,8.20962,HEASARC,GRB
3,bn170801690,2017-08-01 16:33:43.396272,343.18,-41.75,9.13,2.73822,HEASARC,GRB
4,bn170802638,2017-08-02 15:18:24.801293,52.3,-39.21,2.05,22.3178,HEASARC,GRB
5,bn170826819,2017-08-26 19:38:56.478509,327.7,-31.8,1.0,29.9648,HEASARC,GRB
6,bn170829414,2017-08-29 09:56:30.579302,340.08,-28.23,3.18,5.30391,HEASARC,GRB
7,bn170825307,2017-08-25 07:22:01.418650,274.44,-26.17,3.2,5.28011,HEASARC,GRB
8,bn170817529,2017-08-17 12:41:06.474624,197.45,-23.3815,0.0,3.13589,HEASARC,GRB
9,bn170803729,2017-08-03 17:30:27.111830,174.935,-16.312,0.001,13.3597,HEASARC,GRB
10,bn170816258,2017-08-16 06:11:11.879837,10.7,-15.61,4.04,3.2726,HEASARC,GRB
11,bn170813051,2017-08-13 01:13:08.803257,201.058,-5.49079,0.00078,3.03573,HEASARC,GRB
12,bn170830135,2017-08-30 03:14:01.948733,267.244,-2.0,0.09,7.43989,HEASARC,GRB
13,bn170808936,2017-08-08 22:27:43.098249,145.66,2.18,0.34,197.946,HEASARC,GRB
14,bn170810918,2017-08-10 22:01:41.584656,187.939,3.6603,0.0005,3.48343,HEASARC,GRB
15,bn170818137,2017-08-18 03:17:19.979434,297.22,6.35,11.54,10.1628,HEASARC,GRB
16,bn170816599,2017-08-16 14:23:03.954999,350.841,12.853,0.5,23.3563,HEASARC,GRB
17,bn170830069,2017-08-30 01:38:44.226643,353.0,18.31,4.62,4.10495,HEASARC,GRB
18,bn170821265,2017-08-21 06:22:00.847862,252.86,19.11,3.96,2.95512,HEASARC,GRB
19,bn170825500,2017-08-25 12:00:05.997542,3.64,20.12,3.76,33.8162,HEASARC,GRB
20,bn170826369,2017-08-26 08:51:07.514208,64.338,21.074,0.856,10.6318,HEASARC,GRB
21,bn170803172,2017-08-03 04:07:15.747802,76.5,23.97,13.3,3.23704,HEASARC,GRB
22,bn170830328,2017-08-30 07:51:51.112656,219.95,32.41,4.07,6.32343,HEASARC,GRB
23,bn170804911,2017-08-04 21:52:21.456912,261.26,34.14,3.86,8.61666,HEASARC,GRB
24,bn170805901,2017-08-05 21:37:49.588810,243.97,36.38,13.47,2.84045,HEASARC,GRB
25,bn170829674,2017-08-29 16:10:03.157651,326.59,40.65,3.56,4.1391,HEASARC,GRB
26,bn170817908,2017-08-17 21:47:34.433865,83.03,50.07,3.69,9.76939,HEASARC,GRB
27,bn170808065,2017-08-08 01:34:09.389626,3.33,62.29,2.0,7.50122,HEASARC,GRB
