,event_id,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength,source,event_type
0,bn170116238,2017-01-16 05:43:15.259239,72.94,-87.43,9.37,6.49597,HEASARC,GRB
1,bn170130697,2017-01-30 16:43:13.295769,296.39,-80.45,10.73,2.20144,HEASARC,GRB
2,bn171206122,2017-12-06 02:55:44.936745,9.48,-78.2,6.03,6.62104,HEASARC,GRB
3,bn170124874,2017-01-24 20:58:06.357821,282.04,-75.51,1.0,6.36266,HEASARC,GRB
4,bn170121067,2017-01-21 01:36:53.640605,3.03,-75.62,4.07,6.7925,HEASARC,GRB
5,bn170304003,2017-03-04 00:04:26.070442,330.5,-73.76,6.72,13.3098,HEASARC,GRB
6,bn170113420,2017-01-13 10:04:10.109540,61.735,-71.933,0.02,5.99328,HEASARC,GRB
7,bn171212434,2017-12-12 10:24:18.512813,39.44,-70.62,0.39,6.25912,HEASARC,GRB
8,bn171020813,2017-10-20 19:30:32.605546,234.6,-70.16,28.39,3.37807,HEASARC,GRB
9,bn170625692,2017-06-25 16:35:47.453971,106.7,-69.35,7.96,1.69512,HEASARC,GRB
10,bn171024977,2017-10-24 23:27:19.628409,210.53,-68.91,18.82,1.99562,HEASARC,GRB
11,bn170323775,2017-03-23 18:36:28.735603,348.83,-66.81,3.02,3.27034,HEASARC,GRB
12,bn170827818,2017-08-27 19:38:04.464759,48.79,-65.38,6.46,5.9533,HEASARC,GRB
13,bn170210116,2017-02-10 02:47:36.575866,226.055,-65.101,3.28,36.5139,HEASARC,GRB
14,bn170126480,2017-01-26 11:30:41.536829,263.633,-64.7605,0.0012,13.0971,HEASARC,GRB
15,bn170127067,2017-01-27 01:35:47.790586,339.33,-63.94,0.37,49.9922,HEASARC,GRB
16,bn171004857,2017-10-04 20:33:35.382355,26.56,-62.11,6.62,4.71657,HEASARC,GRB
17,bn170906485,2017-09-06 11:38:16.838563,34.86,-62.28,6.58,1.84493,HEASARC,GRB
18,bn170912273,2017-09-12 06:33:46.913846,215.459,-61.9967,0.002,10.5219,HEASARC,GRB
19,bn170727841,2017-07-27 20:10:57.781315,218.85,-61.84,8.89,2.53784,HEASARC,GRB
20,bn170112970,2017-01-12 23:16:09.116458,207.76,-61.77,9.22,3.69187,HEASARC,GRB
21,bn171025913,2017-10-25 21:54:53.010893,338.24,-61.52,14.06,1.84445,HEASARC,GRB
22,bn171112868,2017-11-12 20:50:17.150611,20.467,-59.678,0.17,7.40566,HEASARC,GRB
23,bn170627931,2017-06-27 22:21:00.506995,36.52,-58.7,11.85,3.43338,HEASARC,GRB
24,bn170416583,2017-04-16 14:00:05.851584,284.22,-57.02,3.65,14.3918,HEASARC,GRB
25,bn171010875,2017-10-10 20:59:26.475763,34.123,-54.41,0.026667,1.93217,HEASARC,GRB
26,bn171029020,2017-10-29 00:28:49.091491,198.24,-54.25,9.47,4.01767,HEASARC,GRB
27,bn170317666,2017-03-17 15:59:26.190500,308.13,-53.75,4.85,5.11769,HEASARC,GRB
28,bn170209048,2017-02-09 01:08:38.076806,110.779,-52.2464,0.0001,15.4229,HEASARC,GRB
29,bn170825784,2017-08-25 18:49:11.041334,116.32,-48.72,2.21,5.20216,HEASARC,GRB
30,bn170106968,2017-01-06 23:13:49.824538,39.41,-32.72,27.16,3.30535,HEASARC,GRB
31,bn170906030,2017-09-06 00:43:08.151744,203.955,-47.1007,0.0014,25.0046,HEASARC,GRB
32,bn170629537,2017-06-29 12:53:31.626672,130.016,-46.587,0.05,7.32636,HEASARC,GRB
