rank,gw_event_id,grb_event_id,confidence_score,time_diff_sec,time_diff_hours,angular_sep_deg,within_error_circle,temporal_score,spatial_score,significance_score,combined_error_deg,gw_time,grb_time,gw_ra,gw_dec,grb_ra,grb_dec,gw_snr,grb_flux,gw_pos_error,grb_pos_error
1,GW170817,188210,0.7369466150284759,247613066.6,68781.40738888888,,False,0.0,0.0,0.9211832687855949,,2017-08-17 12:41:04.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9234792,52.91002229,33.0,28.66,,5.56e-05
2,GW170817,188211,0.7368594843174353,247613066.6,68781.40738888888,,False,0.0,0.0,0.921074355396794,,2017-08-17 12:41:04.400000+00:00,2025-06-22 10:05:31+00:00,,,214.954534,52.92975559,33.0,28.65,,5.56e-05
3,GW170817,188213,0.7344471809162233,247613066.6,68781.40738888888,,False,0.0,0.0,0.9180589761452791,,2017-08-17 12:41:04.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9822136,52.9542993,33.0,28.38,,5.56e-05
4,GW170817,188212,0.7286567411143244,247613066.6,68781.40738888888,,False,0.0,0.0,0.9108209263929055,,2017-08-17 12:41:04.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9856372,52.95234096,33.0,27.78,,5.56e-05
5,GW170817,188215,0.7283510249704477,247613066.6,68781.40738888888,,False,0.0,0.0,0.9104387812130595,,2017-08-17 12:41:04.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9419778,52.97412474,33.0,27.75,,5.56e-05
6,GW170817,188246,0.7257411128167919,245762335.6,68267.31544444444,,False,0.0,0.0,0.9071763910209898,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4245773,65.14847058,33.0,27.5,,5.56e-05
7,GW170817,188238,0.7257411128167919,245762335.6,68267.31544444444,,False,0.0,0.0,0.9071763910209898,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4363327,65.22851553,33.0,27.5,,5.56e-05
8,GW170817,188241,0.7246655135997445,245762335.6,68267.31544444444,,False,0.0,0.0,0.9058318919996806,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4957263,65.22676717,33.0,27.4,,5.56e-05
9,GW170817,188243,0.7235715031017036,245762335.6,68267.31544444444,,False,0.0,0.0,0.9044643788771294,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.3701133,65.18700923,33.0,27.3,,5.56e-05
10,GW170817,188248,0.722458859180091,245762335.6,68267.31544444444,,False,0.0,0.0,0.9030735739751137,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4870493,65.22368402,33.0,27.2,,5.56e-05
11,GW170817,188240,0.722458859180091,245762335.6,68267.31544444444,,False,0.0,0.0,0.9030735739751137,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5314925,65.16343214,33.0,27.2,,5.56e-05
12,GW170817,188242,0.7201767867625471,245762335.6,68267.31544444444,,False,0.0,0.0,0.9002209834531839,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.3592336,65.24322071,33.0,27.0,,5.56e-05
13,GW170817,188340,0.719477195228974,156165535.6,43379.315444444444,,False,0.0,0.0,0.8993464940362175,,2017-08-17 12:41:04.400000+00:00,2022-07-30 00:00:00+00:00,,,24.347458,-8.47727,33.0,26.94,,0.000138889
14,GW170817,188247,0.7153793773933008,245762335.6,68267.31544444444,,False,0.0,0.0,0.894224221741626,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5505683,65.17682353,33.0,26.6,,5.56e-05
15,GW170817,188245,0.7141301687935782,245762335.6,68267.31544444444,,False,0.0,0.0,0.8926627109919726,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.2914272,65.24148441,33.0,26.5,,5.56e-05
16,GW170817,188214,0.7129884729782419,247613066.6,68781.40738888888,,False,0.0,0.0,0.8912355912228023,,2017-08-17 12:41:04.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9461809,52.96828558,33.0,26.41,,5.56e-05
17,GW170817,188244,0.7128605928919097,245762335.6,68267.31544444444,,False,0.0,0.0,0.8910757411148871,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.2865683,65.24001444,33.0,26.4,,5.56e-05
18,GW170817,188249,0.7102595065451045,245762335.6,68267.31544444444,,False,0.0,0.0,0.8878243831813806,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4661044,65.1899703,33.0,26.2,,5.56e-05
19,GW170817,188236,0.7075744780858958,245762335.6,68267.31544444444,,False,0.0,0.0,0.8844680976073697,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4150464,65.19168513,33.0,26.0,,5.56e-05
20,GW170817,188234,0.7048039116993419,245762335.6,68267.31544444444,,False,0.0,0.0,0.8810048896241772,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4305786,65.172621,33.0,25.8,,5.56e-05
21,GW170817,188233,0.7048039116993419,245762335.6,68267.31544444444,,False,0.0,0.0,0.8810048896241772,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5644203,65.16542213,33.0,25.8,,5.56e-05
22,GW170817,188237,0.7033860668447938,245762335.6,68267.31544444444,,False,0.0,0.0,0.8792325835559922,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4185586,65.1998366,33.0,25.7,,5.56e-05
23,GW170817,188239,0.6974932729305071,245762335.6,68267.31544444444,,False,0.0,0.0,0.8718665911631338,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5169313,65.21741225,33.0,25.3,,5.56e-05
24,GW170817,188235,0.6959638319158303,245762335.6,68267.31544444444,,False,0.0,0.0,0.8699547898947879,,2017-08-17 12:41:04.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4679962,65.19471133,33.0,25.2,,5.56e-05
25,GW200129_065458,188210,0.6934621122762946,170305832.6,47307.17572222222,,False,0.0,0.0,0.8668276403453682,,2020-01-29 06:54:58.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9234792,52.91002229,26.8,28.66,,5.56e-05
26,GW200129_065458,188211,0.6933801228272759,170305832.6,47307.17572222222,,False,0.0,0.0,0.8667251535340948,,2020-01-29 06:54:58.400000+00:00,2025-06-22 10:05:31+00:00,,,214.954534,52.92975559,26.8,28.65,,5.56e-05
27,GW200129_065458,188213,0.6911101605560046,170305832.6,47307.17572222222,,False,0.0,0.0,0.8638877006950056,,2020-01-29 06:54:58.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9822136,52.9542993,26.8,28.38,,5.56e-05
