,table_name,column_name,description,unit,ucd,utype,xtype,datatype,size,principal,indexed,std
0,fermigbrst,flnc_band_phtflnc_error,Band Model Photon Fluence Error for Fluence Spectrum,photon/cm^2,stat.error;phot.fluence;em.gamma,,,double,,0,0,0
1,fermigbrst,flnc_sbpl_ergflux,SBPL Energy Flux for Fluence Spectrum,erg/cm^2/s,phot.flux;em.gamma,,,double,,0,0,0
2,fermigbrst,flnc_plaw_phtfluxb,Power Law Model 50-300 keV (BATSE) Photon Flux for Fluence Spectrum,photon/cm^2/s,phot.flux;em.gamma,,,double,,0,0,0
3,fermigbrst,flnc_band_ergflux,Band Model Energy Flux for Fluence Spectrum,erg/cm^2/s,phot.flux;em.gamma,,,double,,0,0,0
4,fermigbrst,flnc_sbpl_phtflux,SBPL Photon Flux for Fluence Spectrum,photon/cm^2/s,phot.flux;em.gamma,,,double,,0,0,0
5,fermigbrst,flnc_band_statistic,Band Model Statistical Merit Function for Fluence Spectrum,,stat.fit,,,char,32,0,0,0
6,fermigbrst,flnc_sbpl_ampl_pos_err,SBPL Amplitude Positive Error for Fluence Spectrum,photon/cm^2/s/keV,stat.error;stat.fit.param,,,double,,0,0,0
7,fermigbrst,pflx_sbpl_ampl,Smoothly Broken Power Law Model Amplitude for Peak Flux Spectrum,photon/cm^2/s/keV,stat.fit.param,,,double,,0,0,0
8,fermigbrst,error_radius,Uncertainty in the Position (degrees),degree,stat.error;pos,,,double,,0,0,0
9,fermigbrst,pflx_comp_phtfluxb_error,Comptonized Model 50-300 keV (BATSE) Photon Flux Error for Peak Flux Spectrum,photon/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,0,0,0
10,fermigbrst,scatalog,Catalog Version of the Spectral Catalog Entry File,,meta.version,,,short,,0,0,0
11,fermigbrst,fluence_batse_error,Uncertainty in the 50-300 keV Fluence,erg/cm^2,stat.error;phot.flux;em.gamma,,,double,,0,0,0
12,fermigbrst,pflx_sbpl_phtflux,SBPL Photon Flux for Peak Flux Spectrum,photon/cm^2/s,phot.flux;em.gamma,,,double,,0,0,0
13,fermigbrst,pflx_comp_ampl,Comptonized Model Amplitude for Peak Flux Spectrum,photon/cm^2/s/keV,stat.fit.param,,,double,,0,0,0
14,fermigbrst,flnc_comp_phtfluxb,Comptonized Model 50-300 keV (BATSE) Photon Flux for Fluence Spectrum,photon/cm^2/s,phot.flux;em.gamma,,,double,,0,0,0
15,fermigbrst,flnc_band_ergflux_error,Band Model Energy Flux Error for Fluence Spectrum,erg/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,0,0,0
16,fermigbrst,pflx_band_dof,Band Model Degrees of Freedom for Peak Flux Spectrum,,stat.fit.dof,,,double,,0,0,0
17,fermigbrst,flnc_comp_phtflnc,Comptonized Model Photon Fluence for Fluence Spectrum,photon/cm^2,phot.fluence;em.gamma,,,double,,0,0,0
18,fermigbrst,pflx_plaw_phtflnc_error,Power Law Model Photon Fluence Error for Peak Flux Spectrum,photon/cm^2,stat.error;phot.fluence;em.gamma,,,double,,0,0,0
19,fermigbrst,flnc_band_phtflnc,Band Model Photon Fluence for Fluence Spectrum,photon/cm^2,phot.fluence;em.gamma,,,double,,0,0,0
20,fermigbrst,pflx_sbpl_brken,Smoothly Broken Power Law Model Break Energy for Peak Flux Spectrum,keV,stat.fit.param,,,double,,0,0,0
21,fermigbrst,flnc_comp_ergflncb,Comptonized Model 50-300 keV (BATSE) Energy Fluence for Fluence Spectrum,erg/cm^2,phot.fluence;em.gamma,,,double,,0,0,0
22,fermigbrst,pflx_comp_statistic,Comptonized Model Statistical Merit Function for Peak Flux Spectrum,,stat.fit,,,char,32,0,0,0
23,fermigbrst,flnc_plaw_ampl,Power Law Model Amplitude for Fluence Spectrum,photon/cm^2/s/keV,stat.fit.param,,,double,,0,0,0
24,fermigbrst,pflx_sbpl_brksc,Smoothly Broken Power Law Model Break Scale for Peak Flux Spectrum,keV,stat.fit.param,,,double,,0,0,0
25,fermigbrst,flnc_plaw_phtflncb_error,Power Law Model 50-300 keV (BATSE) Photon Fluence Error for Fluence Spectrum,photon/cm^2,stat.error;phot.fluence;em.gamma,,,double,,0,0,0
26,fermigbrst,pflx_spectrum_stop,End Time for Peak Flux Spectrum Fits Relative to Trigger Time,s,time.end;obs,,,double,,0,0,0
27,fermigbrst,pflx_comp_index_neg_err,Comptonized Model Index Negative Error for Peak Flux Spectrum,,stat.error;stat.fit.param,,,double,,0,0,0
28,fermigbrst,flnc_sbpl_statistic,SBPL Statistical Merit Function for Fluence Spectrum,,stat.fit,,,char,32,0,0,0
29,fermigbrst,pflx_band_ergflux_error,Band Model Energy Flux Error for Peak Flux Spectrum,erg/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,0,0,0
30,fermigbrst,flux_256,10-1000 keV Peak Flux (256ms Timescale),photon/cm^2/s,phot.flux;em.gamma,,,double,,0,0,0
31,fermigbrst,pflx_band_phtflnc_error,Band Model Photon Fluence Error for Peak Flux Spectrum,photon/cm^2,stat.error;phot.fluence;em.gamma,,,double,,0,0,0
32,fermigbrst,flnc_comp_epeak,Comptonized Model Peak Energy for Fluence Spectrum,keV,stat.fit.param,,,double,,0,0,0
33,fermigbrst,pflx_sbpl_ergflux_error,SBPL Energy Flux Error for Peak Flux Spectrum,erg/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,0,0,0
34,fermigbrst,pflx_comp_ergflncb_error,Comptonized Model 50-300 keV (BATSE) Energy Fluence Error for Peak Flux Spectrum,erg/cm^2,stat.error;phot.fluence;em.gamma,,,double,,0,0,0
35,fermigbrst,pflx_sbpl_phtflncb,SBPL 50-300 keV (BATSE) Photon Fluence for Peak Flux Spectrum,photon/cm^2,phot.fluence;em.gamma,,,double,,0,0,0
